"","uniform_id","trialid","trialnum","itemid","cond","fixid","start","stop","xs","ys","xn","yn","ym","dur","ps","sac.in","sac.out","type","blink","line","line.change","line.let","line.word","letternum","letter","wordnum","word","ianum","ia","sentnum","sent","sent.nwords","trial.x","trial.nwords","word.fix","word.run","word.runid","word.run.fix","word.firstskip","word.refix","word.launch","word.land","word.cland","word.reg.out","word.reg.in","word.reg.out.to","word.reg.in.from","ia.fix","ia.run","ia.runid","ia.run.fix","ia.firstskip","ia.refix","ia.launch","ia.land","ia.cland","ia.reg.out","ia.reg.in","ia.reg.out.to","ia.reg.in.from","sent.word","sent.fix","sent.run","sent.runid","sent.run.fix","sent.firstskip","sent.refix","sent.reg.out","sent.reg.in","sent.reg.out.to","sent.reg.in.from","lang","trial.y","supplementary_id","uniform_id"
"1658964","uk01",1,2,"1",1,12,2660,2845,879.9,94.8,879.9,94.8,101,186,651,10,-2,"in",0,1,0,52,10,52,"d",10,"god",10,"god",1,"In ancient Roman rel",14,"In ancient Roman religion and",182,1,1,3,1,0,0,7,3,1,0,0,NA,NA,1,1,3,1,0,0,6,4,2,0,0,NA,NA,10,12,1,1,12,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658965","uk01",1,2,"1",1,13,2859,3068,847.9,93.6,847.9,93.6,101,210,639,-2,17,"in",0,1,0,50,10,50,"g",10,"god",10,"god",1,"In ancient Roman rel",14,"In ancient Roman religion and",182,2,1,3,2,0,1,1,1,-1,0,0,NA,NA,2,1,3,2,0,1,2,2,0,0,0,NA,NA,10,13,1,1,13,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658966","uk01",1,2,"1",1,14,3109,3355,1095.6,96.4,1095.6,96.4,101,247,623,17,5,"in",0,1,0,67,13,67," ",13,"and",13,"and",1,"In ancient Roman rel",14,"In ancient Roman religion and",182,1,1,3,1,0,0,17,0,-2,0,0,NA,NA,1,1,3,1,0,0,16,1,-1,0,0,NA,NA,13,14,1,1,14,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658967","uk01",1,2,"1",1,15,3381,3423,1172.7,102.6,1172.7,102.6,101,43,621,5,-12,"in",0,1,0,72,14,72,"g",14,"gates.",14,"gates.",1,"In ancient Roman rel",14,"In ancient Roman religion and",182,1,1,3,1,0,0,4,1,-2.5,1,0,12,NA,1,1,3,1,0,0,3,2,-1.5,1,0,12,NA,14,15,1,1,15,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658968","uk01",1,2,"1",1,16,3462,3653,992.2,88.4,992.2,88.4,101,192,621,-12,12,"in",0,1,0,60,12,60,"i",12,"beginnings",12,"beginnings",1,"In ancient Roman rel",14,"In ancient Roman religion and",182,1,1,4,1,1,0,-11,4,-1.5,0,1,NA,14,1,1,4,1,1,0,-10,5,-0.5,0,1,NA,14,12,16,1,1,16,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658969","uk01",1,2,"1",1,17,3689,3924,1178.7,102.3,1178.7,102.3,101,236,609,12,15,"in",0,1,0,72,14,72,"g",14,"gates.",14,"gates.",1,"In ancient Roman rel",14,"In ancient Roman religion and",182,2,2,4,1,0,0,11,1,-2.5,0,0,NA,NA,2,2,4,1,0,0,10,2,-1.5,0,0,NA,NA,14,17,1,1,17,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658970","uk01",1,2,"1",1,18,3972,4163,1391.3,111.7,1391.3,111.7,101,192,587,15,-4,"in",0,1,0,87,18,87," ",18,"double",18,"double",2,"He has a double natu",23,"In ancient Roman religion and",182,1,1,4,1,0,0,15,0,-3.5,1,0,16,NA,1,1,4,1,0,0,14,1,-2.5,1,0,16,NA,4,1,1,1,1,0,0,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658971","uk01",1,2,"1",1,19,4182,4355,1333.9,114.2,1333.9,114.2,101,174,578,-4,11,"in",0,1,0,83,16,83,"a",16,"has",16,"has",2,"He has a double natu",23,"In ancient Roman religion and",182,1,1,5,1,1,0,-4,2,0,0,1,NA,18,1,1,5,1,1,0,-3,3,1,0,1,NA,18,2,2,1,1,2,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658972","uk01",1,2,"1",1,20,4391,4709,1501.5,108.6,1501.5,108.6,101,319,557,11,-3,"in",0,1,0,94,19,94," ",19,"nature",19,"nature",2,"He has a double natu",23,"In ancient Roman religion and",182,1,1,5,1,0,0,11,0,-3.5,1,0,18,NA,1,1,5,1,0,0,10,1,-2.5,1,0,18,NA,5,3,1,1,3,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658973","uk01",1,2,"1",1,21,4729,4947,1452.1,108.1,1452.1,108.1,101,219,571,-3,12,"in",0,1,0,91,18,91,"b",18,"double",18,"double",2,"He has a double natu",23,"In ancient Roman religion and",182,2,2,6,1,0,0,-3,4,0.5,0,1,NA,19,2,2,6,1,0,0,-2,5,1.5,0,1,NA,19,4,4,1,1,4,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
