"uniform_id","trialid","trial.nwords","nblink","nrun","nfix","nout","sac","skip","refix","reg","mfix","firstpass","rereading","total","rate","ACCURACY"
"en_uk_58",8,136,5,26,142,0,9.486,0.434,0.168,0.337,194,21743,5741,27484,297,4
"en_uk_59",1,182,5,63,230,0,9.649,0.56,0.217,0.442,179,29797,11349,41146,265,3
"en_uk_59",10,180,6,41,192,0,9.609,0.483,0.205,0.326,190,29949,6526,36475,296,3
"en_uk_59",12,164,5,36,174,0,9.652,0.445,0.187,0.325,192,28373,5056,33429,294,2
"en_uk_59",3,186,6,52,244,0,9.66,0.527,0.248,0.376,181,30547,13607,44154,253,4
"en_uk_59",4,182,8,51,257,0,9.826,0.621,0.263,0.35,184,31616,15561,47177,231,4
"en_uk_59",5,167,10,60,325,0,10.286,0.545,0.312,0.399,176,32106,24945,57051,176,3
"en_uk_59",6,152,4,44,226,0,11.274,0.73,0.309,0.382,170,22673,15858,38531,237,4
"en_uk_59",7,199,12,87,377,0,9.808,0.447,0.24,0.433,178,37072,29972,67044,178,4
"en_uk_59",8,136,4,47,245,0,10.815,0.485,0.371,0.476,173,23664,18794,42458,192,3
"en_uk_6",1,182,21,71,319,0,8.353,0.527,0.176,0.465,163,31228,20926,52154,209,4
"en_uk_6",12,164,12,29,169,0,8.378,0.39,0.164,0.238,150,21109,4223,25332,388,4
"en_uk_6",3,186,15,49,251,0,8.267,0.285,0.162,0.299,160,27108,13118,40226,277,4
"en_uk_6",5,167,12,35,186,0,8.581,0.335,0.108,0.292,156,21993,6983,28976,346,3
"en_uk_6",7,199,10,42,214,0,8.948,0.387,0.118,0.307,148,25373,6251,31624,378,3
"en_uk_6",8,136,10,31,166,0,8.766,0.353,0.194,0.324,159,20348,6036,26384,309,2
"en_uk_6",9,200,17,53,278,0,7.524,0.375,0.177,0.354,154,27855,14831,42686,281,3
"en_uk_60",1,182,15,32,181,0,7.654,0.467,0.126,0.252,216,30318,8744,39062,280,3
"en_uk_60",10,180,10,23,179,0,7.689,0.45,0.159,0.183,222,32531,7271,39802,271,3
"en_uk_60",11,176,18,34,213,0,7.866,0.455,0.182,0.248,217,34048,12199,46247,228,3
"en_uk_60",12,164,9,31,176,0,8.389,0.463,0.123,0.221,202,27399,8176,35575,277,4
"en_uk_60",2,183,10,32,189,1,8.227,0.519,0.173,0.271,210,32138,7595,39733,276,4
"en_uk_60",3,186,14,25,198,0,7.827,0.371,0.167,0.188,214,34351,8116,42467,263,4
"en_uk_60",5,167,15,23,172,0,7.514,0.353,0.177,0.177,227,33709,5365,39074,256,3
"en_uk_60",6,152,8,21,138,1,8.478,0.467,0.184,0.214,216,25276,4583,29859,305,3
"en_uk_60",7,199,15,29,207,0,8.708,0.392,0.17,0.184,217,35649,9372,45021,265,3
"en_uk_60",8,136,6,24,139,1,8.144,0.419,0.157,0.216,223,25546,5447,30993,263,1
"en_uk_60",9,200,16,34,224,0,6.842,0.385,0.176,0.23,210,37066,10018,47084,255,3
"en_uk_61",1,182,3,39,234,0,7.84,0.44,0.244,0.321,182,28552,14015,42567,257,2
"en_uk_61",10,180,4,32,207,0,9.218,0.361,0.146,0.204,184,28289,9870,38159,283,3
"en_uk_61",11,176,4,36,226,0,9.125,0.409,0.187,0.245,199,32942,12119,45061,234,4
"en_uk_61",12,164,5,22,187,0,8.109,0.415,0.228,0.187,193,28478,7696,36174,272,3
"en_uk_61",2,183,4,33,182,0,9.144,0.448,0.192,0.283,177,25301,6883,32184,341,4
"en_uk_61",3,186,4,23,176,0,8.671,0.435,0.23,0.164,195,28647,5622,34269,326,4
"en_uk_61",4,182,4,41,256,0,8.849,0.401,0.315,0.277,184,31998,15180,47178,231,4
"en_uk_61",5,167,3,29,196,0,8.53,0.431,0.194,0.25,192,28899,8804,37703,266,2
"en_uk_61",6,152,3,20,133,0,8.704,0.684,0.177,0.198,189,21256,3900,25156,363,4
"en_uk_61",7,199,4,38,217,0,8.559,0.503,0.205,0.265,182,29413,10116,39529,302,4
"en_uk_61",8,136,3,30,154,0,8.349,0.353,0.093,0.262,195,23139,6884,30023,272,3
"en_uk_61",9,200,5,47,243,0,8.568,0.51,0.171,0.316,188,32094,13622,45716,262,4
"en_uk_8",1,182,1,25,186,0,8.644,0.445,0.177,0.226,185,26987,7426,34413,317,2
"en_uk_8",10,180,2,24,157,0,9.504,0.417,0.07,0.234,168,23371,3011,26382,409,4
"en_uk_8",11,176,2,33,188,0,8.956,0.392,0.142,0.26,182,26004,8222,34226,309,3
"en_uk_8",12,164,2,19,147,0,9.256,0.396,0.149,0.167,177,23618,2343,25961,379,2
"en_uk_8",2,183,1,32,164,0,9.519,0.443,0.072,0.264,171,22580,5450,28030,392,4
"en_uk_8",3,186,3,31,173,0,9.262,0.414,0.111,0.252,167,24782,4042,28824,387,3
"en_uk_8",4,182,3,31,205,0,8,0.412,0.167,0.22,188,25976,12529,38505,284,4
"en_uk_8",5,167,1,24,159,0,9.896,0.419,0.086,0.224,170,21646,5445,27091,370,3
"en_uk_8",6,152,2,20,128,0,9.187,0.421,0.095,0.21,171,19586,2323,21909,416,4
"en_uk_8",7,199,0,25,174,0,9.373,0.432,0.113,0.188,166,24252,4553,28805,415,3
"en_uk_8",8,136,2,15,124,0,8.745,0.397,0.115,0.198,176,18697,3129,21826,374,1
"en_uk_8",9,200,2,43,206,0,8.486,0.435,0.093,0.318,163,26675,6954,33629,357,3
"en_uk_9",1,182,7,28,235,0,6.615,0.28,0.238,0.204,209,39137,9892,49029,223,3
"en_uk_9",10,180,5,27,202,0,6.844,0.278,0.204,0.176,212,34839,7890,42729,253,4
"en_uk_9",11,176,4,17,211,0,7.745,0.278,0.301,0.128,205,37845,5413,43258,244,3
"en_uk_9",12,164,3,17,169,0,6.987,0.256,0.177,0.115,203,30419,3886,34305,287,4
"en_uk_9",2,183,4,28,220,0,6.881,0.262,0.215,0.188,200,34131,9881,44012,249,4
"en_uk_9",3,186,6,20,210,0,7.257,0.269,0.219,0.137,209,38169,5658,43827,255,3
"en_uk_9",4,182,7,31,274,0,6.537,0.209,0.259,0.196,195,40558,12783,53341,205,4
"en_uk_9",5,167,6,21,229,0,6.755,0.216,0.289,0.148,203,38916,7490,46406,216,4
"en_uk_9",6,152,3,9,152,0,6.755,0.289,0.209,0.07,193,27804,1551,29355,311,4
"en_uk_9",7,199,6,21,216,0,6.794,0.266,0.217,0.153,202,38720,4988,43708,273,4
"en_uk_9",8,136,3,20,152,0,6.992,0.346,0.152,0.17,202,25761,4952,30713,266,3
"en_uk_9",9,200,6,28,230,0,6.289,0.265,0.208,0.164,202,39527,6900,46427,258,4
