id,in_span_mean,out_span_mean,relative_TRT,token_count,token_avg_length,Text_TRT,Target_TRT,Fix_Target,target_to_fixation_ratio,Fix_Total,Correct_Flag
A489K1IFOM4JW,103.0,110.7741935483871,0.016777976869196937,101,4.425742574257426,6139.0,103.0,1,0.0119047619,84,1
A4CHLWPHZIP7Y,152.66666666666666,178.36363636363637,0.033154770522658174,114,4.342105263157895,13814.0,458.0,6,0.03125,192,1
A4W9APAHFWVLO,238.0,244.85714285714286,0.013858695652173913,112,4.446428571428571,22080.0,306.0,3,0.013215859,227,1
A4W9APAHFWVLO,135.0,343.38775510204084,0.006108597285067873,101,4.425742574257426,22100.0,135.0,1,0.0050505051,198,0
A7GT7BIC7ERWE,141.75,152.87878787878788,0.18750642145278948,107,3.83177570093458,9733.0,1825.0,24,0.1967213115,122,1
A7SW6SVNJ5V6O,153.5,178.0,0.052904564315352696,112,4.446428571428571,10604.0,561.0,6,0.052173913,115,0
A8C3WNWRBWUXO,315.5,559.3611111111111,0.03845367747963444,112,3.625,34249.0,1317.0,18,0.0391304348,460,0
A9KXY0C9JHSZL,80.0,138.27272727272728,0.0,124,4.338709677419355,3358.0,0.0,0,0.0,45,1
ACTQSBR4YRLZZ,265.42105263157896,292.35714285714283,0.24734904916308825,112,3.625,22822.0,5645.0,65,0.2398523985,271,0
AI8E3ZLZ3FO6O,216.0,270.46153846153845,0.05791661080573803,106,4.2075471698113205,7459.0,432.0,4,0.049382716,81,1
AIA7RZSAONU5M,261.0,432.6333333333333,0.013132654566917515,91,4.615384615384615,27108.0,356.0,3,0.0132743363,226,0
AKAM01E1R4KAF,131.0,199.5,0.3475266123982467,95,5.926315789473684,6388.0,2220.0,29,0.3222222222,90,1
AKNBC1TE88NDO,58.0,355.22641509433964,0.002224694104560623,101,4.425742574257426,26071.0,58.0,1,0.0035587189,281,0
AMPR904VJJFZY,84.57142857142857,160.30434782608697,0.0830928330928331,112,3.625,8316.0,691.0,10,0.1162790698,86,0
ANCTZADQC3D75,87.0,195.54545454545453,0.00856552131534902,88,5.045454545454546,10157.0,87.0,2,0.0168067227,119,0
ANX6Q4NMZL8EI,290.8235294117647,261.19444444444446,0.2028280196198651,112,3.625,26096.0,5293.0,60,0.2112676056,284,0
AQMLJYUQCSG22,0,262.1764705882353,0.0,91,4.989010989010989,13561.0,0.0,0,0.0,131,0
ARUXG5FD1Q76F,1031.0,288.65625,0.040069957248348234,89,5.067415730337078,25730.0,1031.0,11,0.0416666667,264,1
